@ TYPE             %05s "TWISS"
@ TITLE            %09s "CNAO SYNC"
@ ORIGIN           %18s "5.03.04 Windows 64"
@ DATE             %08s "11/09/17"
@ TIME             %08s "16.08.31"
* CyCo BP EdipInj EdipExtr S2kinj s2kextr S3kinj s3kextr S4kinj s4kextr S6 S8 S9 S0_29Acc S0_29FT S2_08Acc S2_08FT SC_08Acc SC_08FT SC_21Acc SC_21FT SE_16Acc SE_16FT BumpVert S4_08Acc S4_08FT S6_14Acc S6_14FT S8_08Acc S8_08FT S8_35Acc S8_35FT SA_08Acc SA_08FT
$ %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le
50 110 7.134663 234.067622 0.47434 0.49773 0.34618 0.310275579229711 0.52017 0.533591460868465 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
51 112 7.134663 236.496478 0.47434 0.49773 0.34618 0.31031138152807 0.52017 0.533633971753244 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
52 114 7.134663 238.9096011 0.47434 0.49773 0.34618 0.310332445648571 0.52017 0.533641981248937 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
53 116 7.134663 241.3076987 0.47434 0.49773 0.34618 0.310332315513227 0.52017 0.533642095825041 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
54 118 7.134663 243.6915354 0.47434 0.49773 0.34618 0.310352016236518 0.52017 0.533649535807991 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
55 120 7.134663 246.0619405 0.47434 0.49773 0.34618 0.310351859101219 0.52017 0.533649448923655 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
56 122 7.134663 248.4198142 0.47434 0.49773 0.34618 0.310372765820365 0.52017 0.533657420443067 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
57 124 7.134663 250.7661354 0.47434 0.49773 0.34618 0.310392832782196 0.52017 0.533665136271573 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
58 126 7.134663 253.1019675 0.47434 0.49773 0.34618 0.310392343790925 0.52017 0.53366482184727 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
59 128 7.134663 255.4284666 0.474315421 0.49773 0.346219524 0.310413641256027 0.520172959 0.533673078954351 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
60 130 7.134663 257.7468873 0.474140127 0.49773 0.346501401 0.31041347845845 0.520194063 0.533672881813572 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
